#Loop_length	position	psi	phi	counts
4	0	-145.0	-155.0	0.0
4	0	-145.0	-150.0	0.0
4	0	-145.0	-145.0	0.0
4	0	-145.0	-140.0	0.0
4	0	-145.0	-135.0	0.0
4	0	-145.0	-130.0	0.0
4	0	-145.0	-125.0	0.0
4	0	-145.0	-120.0	0.0
4	0	-145.0	-115.0	0.0
4	0	-145.0	-110.0	0.0
4	0	-145.0	-105.0	0.0
4	0	-145.0	-100.0	0.0
4	0	-145.0	-95.0	0.0
4	0	-145.0	-90.0	0.0
4	0	-145.0	-85.0	0.0
4	0	-145.0	-80.0	0.0
4	0	-145.0	-75.0	0.0
4	0	-145.0	-70.0	0.0
